cake,code,ingredient,amount,measure
One Bowl Chocolate,WR,Water,0.5,cup
One Bowl Chocolate,YT,Yeast,NA,ounce
One Bowl Chocolate,ZH,Zwiebach,NA,ounce
Red Devil's Food,AE,Almond essence,NA,teaspoon
Red Devil's Food,BM,Buttermilk,NA,cup
Red Devil's Food,BP,Baking powder,NA,teaspoon
Red Devil's Food,BR,Butter,NA,cup
Red Devil's Food,BS,Bananas,NA,one
Red Devil's Food,CA,Cocoa,0.3,tablespoon
Red Devil's Food,CC,Cottage Cheese,NA,pound
Red Devil's Food,CE,Chocolate,NA,ounce
Red Devil's Food,CI,Crushed Ice,NA,cup
Red Devil's Food,CS,Crumbs,NA,cup
Red Devil's Food,CT,Cream of tartar,NA,teaspoon
Red Devil's Food,DC,Dried currants,NA,tablespoon
Red Devil's Food,EG,Eggs,2,one
Red Devil's Food,EY,Egg yolk,NA,one
Red Devil's Food,EW,Egg white,NA,one
Red Devil's Food,FR,Sifted flour,1.75,cup
Red Devil's Food,GN,Gelatin,NA,tablespoon
Red Devil's Food,HC,Heavy cream,NA,cup
Red Devil's Food,LJ,Lemon juice,NA,tablespoon
Red Devil's Food,LR,Lemon rind,NA,teaspoon
Red Devil's Food,MK,Milk,1,cup
Red Devil's Food,NG,Nutmeg,NA,teaspoon
Red Devil's Food,NS,Nuts,NA,cup
Red Devil's Food,RM,Rum,NA,ounce
Red Devil's Food,SA,Soda,1.25,teaspoon
Red Devil's Food,SC,Sour cream cup,NA,NA
Red Devil's Food,SG,Shortening,0.5,tablespoon
Red Devil's Food,SR,Granulated sugar,1.5,cup
Red Devil's Food,SS,Strawberries,NA,quart
Red Devil's Food,ST,Salt,1,teaspoon
Red Devil's Food,VE,Vanilla extract,1,teaspoon
Red Devil's Food,WR,Water,NA,cup
Red Devil's Food,YT,Yeast,NA,ounce
Red Devil's Food,ZH,Zwiebach,NA,ounce
Sour Cream Fudge,AE,Almond essence,NA,teaspoon
Sour Cream Fudge,BM,Buttermilk,NA,cup
Sour Cream Fudge,BP,Baking powder,NA,teaspoon
Sour Cream Fudge,BR,Butter,NA,cup
Sour Cream Fudge,BS,Bananas,NA,one
Sour Cream Fudge,CA,Cocoa,NA,tablespoon
Sour Cream Fudge,CC,Cottage Cheese,NA,pound
Sour Cream Fudge,CE,Chocolate,3,ounce
Sour Cream Fudge,CI,Crushed Ice,NA,cup
Sour Cream Fudge,CS,Crumbs,NA,cup
Sour Cream Fudge,CT,Cream of tartar,NA,teaspoon
Sour Cream Fudge,DC,Dried currants,NA,tablespoon
Sour Cream Fudge,EG,Eggs,2,one
Sour Cream Fudge,EY,Egg yolk,NA,one
Sour Cream Fudge,EW,Egg white,NA,one
Sour Cream Fudge,FR,Sifted flour,2,cup
Sour Cream Fudge,GN,Gelatin,NA,tablespoon
Sour Cream Fudge,HC,Heavy cream,NA,cup
Sour Cream Fudge,LJ,Lemon juice,NA,tablespoon
Sour Cream Fudge,LR,Lemon rind,NA,teaspoon
Sour Cream Fudge,MK,Milk,NA,cup
Sour Cream Fudge,NG,Nutmeg,NA,teaspoon
Sour Cream Fudge,NS,Nuts,NA,cup
Sour Cream Fudge,RM,Rum,NA,ounce
Sour Cream Fudge,SA,Soda,1,teaspoon
Sour Cream Fudge,SC,Sour cream cup,1,NA
Sour Cream Fudge,SG,Shortening,0.3,tablespoon
Sour Cream Fudge,SR,Granulated sugar,1.5,cup
Sour Cream Fudge,SS,Strawberries,NA,quart
Sour Cream Fudge,ST,Salt,1,teaspoon
Sour Cream Fudge,VE,Vanilla extract,1,teaspoon
Sour Cream Fudge,WR,Water,0.25,cup
Sour Cream Fudge,YT,Yeast,NA,ounce
Sour Cream Fudge,ZH,Zwiebach,NA,ounce
Hungarian Cream,AE,Almond essence,1.5,teaspoon
Hungarian Cream,BM,Buttermilk,NA,cup
Hungarian Cream,BP,Baking powder,3,teaspoon
Hungarian Cream,BR,Butter,NA,cup
Hungarian Cream,BS,Bananas,NA,one
Hungarian Cream,CA,Cocoa,NA,tablespoon
Hungarian Cream,CC,Cottage Cheese,NA,pound
Hungarian Cream,CE,Chocolate,NA,ounce
Hungarian Cream,CI,Crushed Ice,NA,cup
Hungarian Cream,CS,Crumbs,NA,cup
Hungarian Cream,CT,Cream of tartar,NA,teaspoon
Hungarian Cream,DC,Dried currants,NA,tablespoon
Hungarian Cream,EG,Eggs,3,one
Hungarian Cream,EY,Egg yolk,NA,one
Hungarian Cream,EW,Egg white,NA,one
Hungarian Cream,FR,Sifted flour,3,cup
Hungarian Cream,GN,Gelatin,NA,tablespoon
Hungarian Cream,HC,Heavy cream,2,cup
Hungarian Cream,LJ,Lemon juice,NA,tablespoon
Hungarian Cream,LR,Lemon rind,NA,teaspoon
Hungarian Cream,MK,Milk,NA,cup
Hungarian Cream,NG,Nutmeg,NA,teaspoon
Hungarian Cream,NS,Nuts,NA,cup
Hungarian Cream,RM,Rum,NA,ounce
Hungarian Cream,SA,Soda,NA,teaspoon
Hungarian Cream,SC,Sour cream cup,NA,NA
Hungarian Cream,SG,Shortening,NA,tablespoon
Hungarian Cream,SR,Granulated sugar,1.5,cup
Hungarian Cream,SS,Strawberries,NA,quart
Hungarian Cream,ST,Salt,1,teaspoon
Hungarian Cream,VE,Vanilla extract,2,teaspoon
Hungarian Cream,WR,Water,NA,cup
Hungarian Cream,YT,Yeast,NA,ounce
Hungarian Cream,ZH,Zwiebach,NA,ounce
Crumb and Nut,AE,Almond essence,NA,teaspoon
Crumb and Nut,BM,Buttermilk,NA,cup
Crumb and Nut,BP,Baking powder,3,teaspoon
Crumb and Nut,BR,Butter,NA,cup
Crumb and Nut,BS,Bananas,NA,one
Crumb and Nut,CA,Cocoa,NA,tablespoon
Crumb and Nut,CC,Cottage Cheese,NA,pound
Crumb and Nut,CE,Chocolate,NA,ounce
Crumb and Nut,CI,Crushed Ice,NA,cup
Crumb and Nut,CS,Crumbs,3,cup
Crumb and Nut,CT,Cream of tartar,NA,teaspoon
Crumb and Nut,DC,Dried currants,NA,tablespoon
Crumb and Nut,EG,Eggs,4,one
Crumb and Nut,EY,Egg yolk,NA,one
Crumb and Nut,EW,Egg white,NA,one
Crumb and Nut,FR,Sifted flour,NA,cup
Crumb and Nut,GN,Gelatin,NA,tablespoon
Crumb and Nut,HC,Heavy cream,NA,cup
Crumb and Nut,LJ,Lemon juice,NA,tablespoon
Crumb and Nut,LR,Lemon rind,NA,teaspoon
Crumb and Nut,MK,Milk,1,cup
Crumb and Nut,NG,Nutmeg,NA,teaspoon
Crumb and Nut,NS,Nuts,1,cup
Crumb and Nut,RM,Rum,NA,ounce
Crumb and Nut,SA,Soda,NA,teaspoon
Crumb and Nut,SC,Sour cream cup,NA,NA
Crumb and Nut,SG,Shortening,1,tablespoon
Crumb and Nut,SR,Granulated sugar,1,cup
Crumb and Nut,SS,Strawberries,NA,quart
Crumb and Nut,ST,Salt,NA,teaspoon
Crumb and Nut,VE,Vanilla extract,2,teaspoon
Crumb and Nut,WR,Water,NA,cup
Crumb and Nut,YT,Yeast,NA,ounce
Crumb and Nut,ZH,Zwiebach,NA,ounce
Spiced Pound,AE,Almond essence,NA,teaspoon
Spiced Pound,BM,Buttermilk,NA,cup
Spiced Pound,BP,Baking powder,NA,teaspoon
Spiced Pound,BR,Butter,1,cup
Spiced Pound,BS,Bananas,NA,one
Spiced Pound,CA,Cocoa,NA,tablespoon
Spiced Pound,CC,Cottage Cheese,NA,pound
Spiced Pound,CE,Chocolate,NA,ounce
Spiced Pound,CI,Crushed Ice,NA,cup
Spiced Pound,CS,Crumbs,NA,cup
Spiced Pound,CT,Cream of tartar,NA,teaspoon
Spiced Pound,DC,Dried currants,NA,tablespoon
Spiced Pound,EG,Eggs,5,one
Spiced Pound,EY,Egg yolk,NA,one
Spiced Pound,EW,Egg white,NA,one
Spiced Pound,FR,Sifted flour,2,cup
Spiced Pound,GN,Gelatin,NA,tablespoon
Spiced Pound,HC,Heavy cream,NA,cup
Spiced Pound,LJ,Lemon juice,NA,tablespoon
Spiced Pound,LR,Lemon rind,NA,teaspoon
Spiced Pound,MK,Milk,NA,cup
Spiced Pound,NG,Nutmeg,1.5,teaspoon
Spiced Pound,NS,Nuts,NA,cup
Spiced Pound,RM,Rum,NA,ounce
Spiced Pound,SA,Soda,NA,teaspoon
Spiced Pound,SC,Sour cream cup,NA,NA
Spiced Pound,SG,Shortening,NA,tablespoon
Spiced Pound,SR,Granulated sugar,1.7,cup
Spiced Pound,SS,Strawberries,NA,quart
Spiced Pound,ST,Salt,0.5,teaspoon
Spiced Pound,VE,Vanilla extract,NA,teaspoon
Spiced Pound,WR,Water,NA,cup
Spiced Pound,YT,Yeast,NA,ounce
Spiced Pound,ZH,Zwiebach,NA,ounce
Strawberry Roll,AE,Almond essence,NA,teaspoon
Strawberry Roll,BM,Buttermilk,NA,cup
Strawberry Roll,BP,Baking powder,0.75,teaspoon
Strawberry Roll,BR,Butter,NA,cup
Strawberry Roll,BS,Bananas,NA,one
Strawberry Roll,CA,Cocoa,NA,tablespoon
Strawberry Roll,CC,Cottage Cheese,0.5,pound
Strawberry Roll,CE,Chocolate,NA,ounce
Strawberry Roll,CI,Crushed Ice,NA,cup
Strawberry Roll,CS,Crumbs,NA,cup
Strawberry Roll,CT,Cream of tartar,NA,teaspoon
Strawberry Roll,DC,Dried currants,NA,tablespoon
Strawberry Roll,EG,Eggs,4,one
Strawberry Roll,EY,Egg yolk,NA,one
Strawberry Roll,EW,Egg white,NA,one
Strawberry Roll,FR,Sifted flour,0.75,cup
Strawberry Roll,GN,Gelatin,NA,tablespoon
Strawberry Roll,HC,Heavy cream,NA,cup
Strawberry Roll,LJ,Lemon juice,NA,tablespoon
Strawberry Roll,LR,Lemon rind,NA,teaspoon
Strawberry Roll,MK,Milk,NA,cup
Strawberry Roll,NG,Nutmeg,NA,teaspoon
Strawberry Roll,NS,Nuts,NA,cup
Strawberry Roll,RM,Rum,NA,ounce
Strawberry Roll,SA,Soda,NA,teaspoon
Strawberry Roll,SC,Sour cream cup,NA,NA
Strawberry Roll,SG,Shortening,NA,tablespoon
Strawberry Roll,SR,Granulated sugar,0.75,cup
Strawberry Roll,SS,Strawberries,1,quart
Strawberry Roll,ST,Salt,1,teaspoon
Strawberry Roll,VE,Vanilla extract,1,teaspoon
Strawberry Roll,WR,Water,NA,cup
Strawberry Roll,YT,Yeast,NA,ounce
Strawberry Roll,ZH,Zwiebach,NA,ounce
Savarin,AE,Almond essence,NA,teaspoon
Savarin,BM,Buttermilk,NA,cup
Savarin,BP,Baking powder,NA,teaspoon
Savarin,BR,Butter,0.7,cup
Savarin,BS,Bananas,NA,one
Savarin,CA,Cocoa,NA,tablespoon
Savarin,CC,Cottage Cheese,NA,pound
Savarin,CE,Chocolate,NA,ounce
Savarin,CI,Crushed Ice,NA,cup
Savarin,CS,Crumbs,NA,cup
Savarin,CT,Cream of tartar,NA,teaspoon
Savarin,DC,Dried currants,NA,tablespoon
Savarin,EG,Eggs,3,one
Savarin,EY,Egg yolk,NA,one
Savarin,EW,Egg white,NA,one
Savarin,FR,Sifted flour,1.5,cup
Savarin,GN,Gelatin,NA,tablespoon
Savarin,HC,Heavy cream,NA,cup
Savarin,LJ,Lemon juice,NA,tablespoon
Savarin,LR,Lemon rind,1,teaspoon
Savarin,MK,Milk,0.25,cup
Savarin,NG,Nutmeg,NA,teaspoon
Savarin,NS,Nuts,NA,cup
Savarin,RM,Rum,NA,ounce
Savarin,SA,Soda,NA,teaspoon
Savarin,SC,Sour cream cup,NA,NA
Savarin,SG,Shortening,NA,tablespoon
Savarin,SR,Granulated sugar,0.6,cup
Savarin,SS,Strawberries,NA,quart
Savarin,ST,Salt,0.5,teaspoon
Savarin,VE,Vanilla extract,NA,teaspoon
Savarin,WR,Water,0.25,cup
Savarin,YT,Yeast,1,ounce
Savarin,ZH,Zwiebach,NA,ounce
Banana Shortcake,AE,Almond essence,NA,teaspoon
Banana Shortcake,BM,Buttermilk,NA,cup
Banana Shortcake,BP,Baking powder,4,teaspoon
Banana Shortcake,BR,Butter,0.6,cup
Banana Shortcake,BS,Bananas,3,one
Banana Shortcake,CA,Cocoa,NA,tablespoon
Banana Shortcake,CC,Cottage Cheese,NA,pound
Banana Shortcake,CE,Chocolate,NA,ounce
Banana Shortcake,CI,Crushed Ice,NA,cup
Banana Shortcake,CS,Crumbs,NA,cup
Banana Shortcake,CT,Cream of tartar,NA,teaspoon
Banana Shortcake,DC,Dried currants,NA,tablespoon
Banana Shortcake,EG,Eggs,NA,one
Banana Shortcake,EY,Egg yolk,NA,one
Banana Shortcake,EW,Egg white,NA,one
Banana Shortcake,FR,Sifted flour,3,cup
Banana Shortcake,GN,Gelatin,NA,tablespoon
Banana Shortcake,HC,Heavy cream,1,cup
Banana Shortcake,LJ,Lemon juice,NA,tablespoon
Banana Shortcake,LR,Lemon rind,NA,teaspoon
Banana Shortcake,MK,Milk,1,cup
Banana Shortcake,NG,Nutmeg,NA,teaspoon
Banana Shortcake,NS,Nuts,NA,cup
Banana Shortcake,RM,Rum,NA,ounce
Banana Shortcake,SA,Soda,NA,teaspoon
Banana Shortcake,SC,Sour cream cup,NA,NA
Banana Shortcake,SG,Shortening,NA,tablespoon
Banana Shortcake,SR,Granulated sugar,0.13,cup
Banana Shortcake,SS,Strawberries,NA,quart
Banana Shortcake,ST,Salt,0.5,teaspoon
Banana Shortcake,VE,Vanilla extract,NA,teaspoon
Banana Shortcake,WR,Water,NA,cup
Banana Shortcake,YT,Yeast,NA,ounce
Banana Shortcake,ZH,Zwiebach,NA,ounce
Strawberry Shortcake,AE,Almond essence,NA,teaspoon
Strawberry Shortcake,BM,Buttermilk,NA,cup
Strawberry Shortcake,BP,Baking powder,3,teaspoon
Strawberry Shortcake,BR,Butter,0.12,cup
Strawberry Shortcake,BS,Bananas,NA,one
Strawberry Shortcake,CA,Cocoa,NA,tablespoon
Strawberry Shortcake,CC,Cottage Cheese,0.2,pound
Strawberry Shortcake,CE,Chocolate,NA,ounce
Strawberry Shortcake,CI,Crushed Ice,NA,cup
Strawberry Shortcake,CS,Crumbs,NA,cup
Strawberry Shortcake,CT,Cream of tartar,NA,teaspoon
Strawberry Shortcake,DC,Dried currants,NA,tablespoon
Strawberry Shortcake,EG,Eggs,1,one
Strawberry Shortcake,EY,Egg yolk,NA,one
Strawberry Shortcake,EW,Egg white,NA,one
Strawberry Shortcake,FR,Sifted flour,2,cup
